IDJogo;DataHora;PontosCasa;PontosVisitante;IDEstadio;IDTimeCasa;IDTimeFora
594;08/01/2023 01:30;0;0;10;10;22
595;08/01/2023 03:00;0;0;25;26;14
596;08/01/2023 20:00;0;0;9;9;23
597;08/01/2023 20:30;0;0;27;28;25
598;08/01/2023 22:00;0;0;12;12;4
599;08/01/2023 23:00;0;0;15;16;3
600;08/01/2023 23:00;0;0;14;15;29
601;09/01/2023 00:00;0;0;11;11;18
602;09/01/2023 00:00;0;0;20;21;7
603;09/01/2023 01:00;0;0;23;24;6
604;09/01/2023 02:00;0;0;13;13;1
605;10/01/2023 00:00;0;0;29;30;19
606;10/01/2023 00:30;0;0;2;2;5
607;10/01/2023 00:30;0;0;19;20;17
608;10/01/2023 01:00;0;0;14;15;27
609;10/01/2023 02:00;0;0;8;8;14
610;10/01/2023 03:00;0;0;25;26;22
611;11/01/2023 00:30;0;0;15;16;21
612;11/01/2023 00:30;0;0;22;23;9
613;11/01/2023 00:30;0;0;27;28;4
614;11/01/2023 02:00;0;0;28;29;6
615;11/01/2023 03:00;0;0;10;10;24
616;11/01/2023 03:00;0;0;24;25;22
617;11/01/2023 03:30;0;0;13;13;7
618;12/01/2023 00:00;0;0;9;9;18
619;12/01/2023 00:00;0;0;29;30;5
620;12/01/2023 00:30;0;0;1;1;17
621;12/01/2023 00:30;0;0;2;2;19
622;12/01/2023 00:30;0;0;19;20;12
623;12/01/2023 01:00;0;0;14;15;27
624;12/01/2023 02:00;0;0;8;8;24
625;12/01/2023 03:00;0;0;25;26;11
626;13/01/2023 00:00;0;0;22;23;21
627;13/01/2023 00:30;0;0;3;3;2
628;13/01/2023 00:30;0;0;15;16;17
629;13/01/2023 00:30;0;0;27;28;4
630;13/01/2023 03:00;0;0;13;14;7
631;13/01/2023 03:00;0;0;24;25;6
632;14/01/2023 00:00;0;0;9;9;19
633;14/01/2023 00:00;0;0;12;12;1
634;14/01/2023 00:00;0;0;29;30;20
635;14/01/2023 00:30;0;0;26;27;10
636;14/01/2023 01:00;0;0;5;5;21
637;14/01/2023 01:00;0;0;17;18;24
638;14/01/2023 02:00;0;0;28;29;22
639;14/01/2023 03:00;0;0;13;13;8
640;14/01/2023 03:00;0;0;25;26;11
641;14/01/2023 18:00;0;0;15;16;17
642;15/01/2023 00:00;0;0;4;4;2
643;15/01/2023 00:00;0;0;12;12;15
644;15/01/2023 00:30;0;0;27;28;1
645;15/01/2023 01:00;0;0;17;18;6
646;15/01/2023 02:00;0;0;28;29;23
647;15/01/2023 03:00;0;0;24;25;7
648;15/01/2023 18:00;0;0;9;9;20
649;15/01/2023 20:00;0;0;13;13;11
650;15/01/2023 20:30;0;0;5;5;10
651;15/01/2023 23:00;0;0;3;3;21
652;16/01/2023 00:00;0;0;26;27;26
653;16/01/2023 01:00;0;0;8;8;22
654;16/01/2023 02:00;0;0;24;25;7
655;16/01/2023 02:30;0;0;13;14;23
656;16/01/2023 18:00;0;0;4;4;2
657;16/01/2023 19:30;0;0;16;17;12
658;16/01/2023 20:00;0;0;6;6;19
659;16/01/2023 20:00;0;0;19;20;28
660;16/01/2023 20:00;0;0;29;30;10
661;16/01/2023 20:30;0;0;1;1;16
662;16/01/2023 21:00;0;0;17;18;29
663;16/01/2023 23:00;0;0;14;15;24
664;17/01/2023 03:30;0;0;13;14;11
665;18/01/2023 00:30;0;0;16;17;28
666;18/01/2023 01:00;0;0;26;27;3
667;18/01/2023 02:00;0;0;8;8;25
668;18/01/2023 03:00;0;0;13;13;23
669;19/01/2023 00:30;0;0;19;20;30
670;19/01/2023 00:30;0;0;7;7;1
671;19/01/2023 01:00;0;0;11;11;4
672;19/01/2023 01:00;0;0;14;15;6
673;19/01/2023 01:00;0;0;18;19;16
674;19/01/2023 01:00;0;0;20;21;12
675;19/01/2023 02:00;0;0;28;29;13
676;19/01/2023 03:00;0;0;8;8;18
677;19/01/2023 03:30;0;0;13;14;26
678;19/01/2023 20:00;0;0;9;9;5
679;20/01/2023 00:30;0;0;2;2;10
680;20/01/2023 01:00;0;0;17;18;28
681;20/01/2023 03:00;0;0;23;24;3
682;20/01/2023 03:00;0;0;24;25;23
683;21/01/2023 00:00;0;0;21;22;19
684;21/01/2023 00:30;0;0;1;1;20
685;21/01/2023 00:30;0;0;6;6;10
686;21/01/2023 00:30;0;0;7;7;16
687;21/01/2023 01:00;0;0;26;27;13
688;21/01/2023 02:00;0;0;8;8;12
689;21/01/2023 02:00;0;0;28;29;3
690;21/01/2023 03:00;0;0;13;14;15
691;21/01/2023 03:00;0;0;25;26;21
692;21/01/2023 22:00;0;0;27;28;2
693;22/01/2023 00:00;0;0;29;30;22
694;22/01/2023 00:30;0;0;1;1;4
695;22/01/2023 00:30;0;0;6;6;17
696;22/01/2023 01:00;0;0;17;18;11
697;22/01/2023 02:00;0;0;23;24;12
698;22/01/2023 03:00;0;0;25;26;23
699;22/01/2023 20:30;0;0;15;16;19
700;22/01/2023 23:00;0;0;27;28;20
701;23/01/2023 00:30;0;0;7;7;13
702;23/01/2023 01:00;0;0;8;8;21
703;23/01/2023 01:00;0;0;23;24;15
704;23/01/2023 01:30;0;0;10;10;3
705;23/01/2023 02:00;0;0;24;25;14
706;24/01/2023 00:00;0;0;9;9;17
707;24/01/2023 00:00;0;0;21;22;2
708;24/01/2023 01:00;0;0;5;5;1
709;24/01/2023 01:00;0;0;11;11;18
710;24/01/2023 02:00;0;0;28;29;4
711;24/01/2023 03:00;0;0;24;25;27
712;24/01/2023 03:30;0;0;25;26;15
713;25/01/2023 00:00;0;0;12;12;5
714;25/01/2023 00:30;0;0;15;16;2
715;25/01/2023 00:30;0;0;19;20;6
716;25/01/2023 01:00;0;0;18;19;8
717;25/01/2023 01:30;0;0;7;7;30
718;25/01/2023 02:00;0;0;23;24;4
719;25/01/2023 03:00;0;0;13;14;13
720;26/01/2023 00:00;0;0;21;22;12
721;26/01/2023 00:30;0;0;22;23;3
722;26/01/2023 01:00;0;0;11;11;30
723;26/01/2023 01:00;0;0;16;17;8
724;26/01/2023 01:00;0;0;18;19;18
725;26/01/2023 01:00;0;0;20;21;1
726;26/01/2023 03:00;0;0;10;10;15
727;26/01/2023 03:00;0;0;24;25;29
728;26/01/2023 03:00;0;0;25;26;28
729;26/01/2023 03:30;0;0;13;14;27
730;27/01/2023 00:30;0;0;2;2;20
731;27/01/2023 00:30;0;0;3;3;9
732;27/01/2023 00:30;0;0;4;4;5
733;27/01/2023 01:00;0;0;11;11;6
734;27/01/2023 03:00;0;0;23;24;7
735;27/01/2023 03:30;0;0;13;13;27
736;28/01/2023 00:00;0;0;12;12;17
737;28/01/2023 00:30;0;0;17;18;15
738;28/01/2023 01:00;0;0;15;16;22
739;28/01/2023 01:00;0;0;20;21;6
740;28/01/2023 03:00;0;0;10;10;28
741;28/01/2023 20:00;0;0;22;23;8
742;28/01/2023 22:30;0;0;3;3;20
743;29/01/2023 00:00;0;0;9;9;11
744;29/01/2023 00:00;0;0;21;22;5
745;29/01/2023 00:30;0;0;1;1;13
746;29/01/2023 01:00;0;0;17;18;26
747;29/01/2023 01:00;0;0;18;19;30
748;29/01/2023 01:00;0;0;26;27;24
749;29/01/2023 01:30;0;0;2;2;14
750;29/01/2023 02:00;0;0;28;29;7
751;29/01/2023 03:00;0;0;24;25;28
752;29/01/2023 18:00;0;0;4;4;16
753;29/01/2023 23:00;0;0;14;15;12
754;30/01/2023 00:00;0;0;6;6;13
755;30/01/2023 01:00;0;0;16;17;19
756;31/01/2023 00:00;0;0;22;23;22
757;31/01/2023 00:30;0;0;3;3;14
758;31/01/2023 01:00;0;0;17;18;26
759;31/01/2023 01:00;0;0;20;21;10
760;31/01/2023 01:00;0;0;26;27;30
761;31/01/2023 01:30;0;0;7;7;9
762;31/01/2023 02:00;0;0;23;24;28
763;31/01/2023 03:00;0;0;24;25;1
764;01/02/2023 00:00;0;0;6;6;16
765;01/02/2023 00:30;0;0;19;20;14
766;01/02/2023 01:00;0;0;5;5;13
767;01/02/2023 01:00;0;0;16;17;4
768;01/02/2023 03:00;0;0;8;8;19
769;02/02/2023 00:00;0;0;9;9;30
770;02/02/2023 00:00;0;0;22;23;22
771;02/02/2023 00:00;0;0;14;15;25
772;02/02/2023 00:30;0;0;2;2;3
773;02/02/2023 01:00;0;0;11;11;21
774;02/02/2023 01:00;0;0;17;18;10
775;02/02/2023 01:00;0;0;26;27;26
776;02/02/2023 02:00;0;0;28;29;28
777;02/02/2023 03:00;0;0;23;24;1
778;03/02/2023 00:00;0;0;12;12;14
779;03/02/2023 00:30;0;0;6;6;15
780;03/02/2023 00:30;0;0;19;20;16
781;03/02/2023 01:00;0;0;5;5;4
782;03/02/2023 01:30;0;0;7;7;19
783;03/02/2023 02:00;0;0;8;8;10
784;03/02/2023 03:00;0;0;16;17;13
785;04/02/2023 00:00;0;0;9;9;4
786;04/02/2023 00:00;0;0;12;12;26
787;04/02/2023 00:00;0;0;29;30;25
788;04/02/2023 00:30;0;0;2;2;24
789;04/02/2023 01:00;0;0;11;11;28
790;04/02/2023 01:00;0;0;17;18;22
791;04/02/2023 01:00;0;0;26;27;23
792;04/02/2023 02:00;0;0;28;29;1
793;04/02/2023 23:00;0;0;3;3;30
794;05/02/2023 00:00;0;0;9;9;24
795;05/02/2023 00:00;0;0;19;20;13
796;05/02/2023 01:00;0;0;5;5;25
797;05/02/2023 01:00;0;0;16;17;16
798;05/02/2023 01:00;0;0;18;19;14
799;05/02/2023 01:00;0;0;20;21;11
800;05/02/2023 01:30;0;0;10;10;7
801;05/02/2023 02:00;0;0;8;8;1
802;05/02/2023 18:00;0;0;4;4;22
803;05/02/2023 22:00;0;0;12;12;6
804;05/02/2023 23:00;0;0;19;20;23
805;05/02/2023 23:00;0;0;14;15;28
806;06/02/2023 00:00;0;0;17;18;8
807;06/02/2023 00:00;0;0;18;19;26
808;07/02/2023 00:00;0;0;9;9;2
809;07/02/2023 00:00;0;0;29;30;6
810;07/02/2023 00:30;0;0;3;3;13
811;07/02/2023 01:00;0;0;5;5;27
812;07/02/2023 01:00;0;0;11;11;26
813;07/02/2023 02:00;0;0;28;29;7
814;07/02/2023 03:00;0;0;10;10;21
815;07/02/2023 03:00;0;0;24;25;17
816;08/02/2023 00:00;0;0;21;22;20
817;08/02/2023 00:30;0;0;3;3;24
818;08/02/2023 00:30;0;0;18;19;1
819;08/02/2023 01:00;0;0;14;15;5
820;08/02/2023 03:00;0;0;8;8;18
821;08/02/2023 03:30;0;0;13;14;21
822;09/02/2023 00:00;0;0;6;6;9
823;09/02/2023 00:00;0;0;29;30;4
824;09/02/2023 00:30;0;0;2;2;23
825;09/02/2023 00:30;0;0;15;16;12
826;09/02/2023 00:30;0;0;27;28;27
827;09/02/2023 01:00;0;0;11;11;26
828;09/02/2023 02:00;0;0;28;29;18
829;09/02/2023 03:00;0;0;13;13;7
830;09/02/2023 03:00;0;0;24;25;10
831;10/02/2023 00:00;0;0;21;22;8
832;10/02/2023 00:30;0;0;1;1;24
833;10/02/2023 00:30;0;0;3;3;5
834;10/02/2023 03:00;0;0;13;14;17
835;11/02/2023 00:00;0;0;9;9;27
836;11/02/2023 00:00;0;0;12;12;24
837;11/02/2023 00:00;0;0;22;23;20
838;11/02/2023 00:30;0;0;2;2;4
839;11/02/2023 00:30;0;0;27;28;29
840;11/02/2023 01:00;0;0;15;16;11
841;11/02/2023 01:00;0;0;14;15;18
842;11/02/2023 03:00;0;0;18;19;6
843;11/02/2023 03:00;0;0;24;25;21
844;11/02/2023 03:00;0;0;25;26;7
845;11/02/2023 03:30;0;0;13;13;17
846;11/02/2023 23:00;0;0;3;3;23
847;12/02/2023 00:00;0;0;4;4;8
848;12/02/2023 00:00;0;0;21;22;16
849;12/02/2023 00:00;0;0;29;30;12
850;12/02/2023 00:30;0;0;1;1;27
851;12/02/2023 00:30;0;0;19;20;29
852;12/02/2023 01:00;0;0;6;6;5
853;12/02/2023 01:30;0;0;10;10;14
854;12/02/2023 03:00;0;0;25;26;7
855;12/02/2023 19:00;0;0;2;2;15
856;12/02/2023 20:00;0;0;27;28;9
857;14/02/2023 00:00;0;0;4;4;1
858;14/02/2023 00:00;0;0;6;6;27
859;14/02/2023 00:00;0;0;12;12;29
860;14/02/2023 00:00;0;0;22;23;11
861;14/02/2023 00:30;0;0;15;16;8
862;14/02/2023 00:30;0;0;19;20;3
863;14/02/2023 01:00;0;0;5;5;22
864;14/02/2023 01:00;0;0;20;21;19
865;14/02/2023 01:30;0;0;7;7;18
866;14/02/2023 03:00;0;0;10;10;30
867;14/02/2023 03:00;0;0;24;25;14
868;15/02/2023 00:30;0;0;27;28;22
869;15/02/2023 00:30;0;0;16;17;2
870;15/02/2023 02:00;0;0;23;24;26
871;15/02/2023 03:00;0;0;13;13;10
872;15/02/2023 03:00;0;0;24;25;30
873;16/02/2023 00:00;0;0;4;4;27
874;16/02/2023 00:00;0;0;12;12;5
875;16/02/2023 00:00;0;0;22;23;6
876;16/02/2023 00:30;0;0;1;1;20
877;16/02/2023 00:30;0;0;2;2;9
878;16/02/2023 00:30;0;0;3;3;16
879;16/02/2023 01:00;0;0;14;15;29
880;16/02/2023 01:00;0;0;20;21;11
881;16/02/2023 02:00;0;0;8;8;7
882;16/02/2023 03:00;0;0;13;14;19
883;17/02/2023 00:30;0;0;5;5;17
884;17/02/2023 01:00;0;0;17;18;30
885;17/02/2023 03:00;0;0;23;24;13
886;24/02/2023 00:00;0;0;6;6;8
887;24/02/2023 00:00;0;0;12;12;2
888;24/02/2023 00:00;0;0;21;22;9
889;24/02/2023 00:30;0;0;22;23;15
890;24/02/2023 00:30;0;0;27;28;19
891;24/02/2023 01:30;0;0;7;7;27
892;24/02/2023 02:00;0;0;28;29;21
893;24/02/2023 03:00;0;0;13;14;10
894;24/02/2023 03:00;0;0;25;26;25
895;25/02/2023 00:00;0;0;29;30;20
896;25/02/2023 00:30;0;0;1;1;6
897;25/02/2023 00:30;0;0;16;17;16
898;25/02/2023 01:00;0;0;17;18;4
899;25/02/2023 02:00;0;0;23;24;21
900;25/02/2023 03:00;0;0;5;5;3
901;25/02/2023 03:00;0;0;10;10;11
902;25/02/2023 03:30;0;0;13;13;26
903;25/02/2023 17:00;0;0;9;9;28
904;26/02/2023 00:00;0;0;4;4;16
905;26/02/2023 00:00;0;0;21;22;12
906;26/02/2023 00:30;0;0;19;20;19
907;26/02/2023 01:00;0;0;14;15;8
908;26/02/2023 01:30;0;0;22;23;2
909;26/02/2023 02:00;0;0;28;29;27
910;26/02/2023 18:00;0;0;16;17;24
911;26/02/2023 20:00;0;0;1;1;3
912;26/02/2023 20:30;0;0;5;5;30
913;26/02/2023 20:30;0;0;7;7;14
914;26/02/2023 23:00;0;0;6;6;28
915;27/02/2023 00:00;0;0;20;21;26
916;27/02/2023 00:30;0;0;10;10;18
917;27/02/2023 02:00;0;0;24;25;11
918;27/02/2023 03:00;0;0;8;8;13
919;28/02/2023 00:00;0;0;4;4;9
920;28/02/2023 00:00;0;0;22;23;16
921;28/02/2023 00:30;0;0;19;20;2
922;28/02/2023 01:00;0;0;18;19;22
923;01/03/2023 00:30;0;0;1;1;30
924;01/03/2023 00:30;0;0;3;3;17
925;01/03/2023 00:30;0;0;27;28;5
926;01/03/2023 01:00;0;0;11;11;8
927;01/03/2023 01:00;0;0;14;15;14
928;01/03/2023 01:00;0;0;20;21;26
929;01/03/2023 01:30;0;0;7;7;12
930;01/03/2023 02:00;0;0;28;29;27
931;01/03/2023 03:00;0;0;10;10;25
932;01/03/2023 03:00;0;0;13;13;18
933;02/03/2023 00:00;0;0;4;4;24
934;02/03/2023 00:00;0;0;9;9;5
935;02/03/2023 00:30;0;0;2;2;6
936;02/03/2023 00:30;0;0;15;16;23
937;02/03/2023 00:30;0;0;19;20;3
938;02/03/2023 01:00;0;0;11;11;15
939;02/03/2023 01:00;0;0;16;17;22
940;02/03/2023 01:00;0;0;20;21;14
941;02/03/2023 03:00;0;0;24;25;19
942;03/03/2023 00:00;0;0;29;30;28
943;03/03/2023 00:30;0;0;7;7;23
944;03/03/2023 01:30;0;0;26;27;12
945;03/03/2023 03:00;0;0;10;10;13
946;04/03/2023 00:00;0;0;4;4;22
947;04/03/2023 00:30;0;0;1;1;25
948;04/03/2023 00:30;0;0;2;2;3
949;04/03/2023 01:00;0;0;15;16;20
950;04/03/2023 01:00;0;0;5;5;24
951;04/03/2023 01:00;0;0;20;21;29
952;04/03/2023 03:00;0;0;8;8;15
953;04/03/2023 03:00;0;0;10;10;19
954;04/03/2023 03:00;0;0;25;26;13
955;04/03/2023 03:30;0;0;13;14;18
956;04/03/2023 22:00;0;0;29;30;28
957;05/03/2023 00:30;0;0;6;6;9
958;05/03/2023 01:00;0;0;15;16;1
959;05/03/2023 01:00;0;0;26;27;11
960;05/03/2023 01:30;0;0;16;17;23
961;05/03/2023 03:00;0;0;25;26;18
962;05/03/2023 18:00;0;0;7;7;24
963;05/03/2023 20:30;0;0;5;5;12
964;05/03/2023 20:30;0;0;13;14;10
965;05/03/2023 23:00;0;0;3;3;4
966;05/03/2023 23:00;0;0;21;22;25
967;06/03/2023 00:00;0;0;11;11;27
968;06/03/2023 00:00;0;0;20;21;29
969;06/03/2023 00:30;0;0;2;2;20
970;06/03/2023 03:00;0;0;13;13;15
971;07/03/2023 00:00;0;0;6;6;2
972;07/03/2023 00:00;0;0;12;12;23
973;07/03/2023 00:00;0;0;29;30;17
974;07/03/2023 00:30;0;0;15;16;1
975;07/03/2023 02:00;0;0;8;8;28
976;07/03/2023 03:00;0;0;25;26;19
977;08/03/2023 00:00;0;0;9;9;25
978;08/03/2023 00:00;0;0;21;22;17
979;08/03/2023 00:30;0;0;19;20;4
980;08/03/2023 00:30;0;0;17;18;23
981;08/03/2023 01:00;0;0;11;11;3
982;08/03/2023 01:00;0;0;20;21;10
983;08/03/2023 01:30;0;0;7;7;29
984;08/03/2023 03:00;0;0;13;14;15
985;09/03/2023 00:00;0;0;29;30;1
986;09/03/2023 00:30;0;0;2;2;25
987;09/03/2023 00:30;0;0;15;16;6
988;09/03/2023 00:30;0;0;18;19;7
989;09/03/2023 02:00;0;0;8;8;5
990;09/03/2023 02:00;0;0;23;24;21
991;09/03/2023 03:00;0;0;13;13;28
992;10/03/2023 00:00;0;0;9;9;4
993;10/03/2023 00:00;0;0;12;12;11
994;10/03/2023 00:00;0;0;21;22;29
995;10/03/2023 00:30;0;0;16;17;3
996;10/03/2023 03:00;0;0;14;15;10
997;10/03/2023 03:00;0;0;25;26;20
998;11/03/2023 00:00;0;0;22;23;25
999;11/03/2023 00:00;0;0;29;30;1
1000;11/03/2023 01:00;0;0;15;16;6
1001;11/03/2023 01:00;0;0;17;18;3
1002;11/03/2023 01:00;0;0;26;27;8
1003;11/03/2023 03:30;0;0;13;14;28
1004;11/03/2023 21:00;0;0;13;13;20
1005;12/03/2023 00:00;0;0;4;4;29
1006;12/03/2023 00:00;0;0;9;9;12
1007;12/03/2023 00:00;0;0;21;22;16
1008;12/03/2023 00:30;0;0;1;1;2
1009;12/03/2023 01:00;0;0;11;11;5
1010;12/03/2023 01:00;0;0;14;15;7
1011;12/03/2023 01:30;0;0;18;19;21
1012;12/03/2023 01:30;0;0;10;10;17
1013;12/03/2023 03:00;0;0;23;24;26
1014;12/03/2023 19:30;0;0;8;8;3
1015;12/03/2023 21:00;0;0;4;4;6
1016;12/03/2023 22:00;0;0;22;23;30
1017;12/03/2023 23:00;0;0;18;19;25
1018;12/03/2023 23:00;0;0;26;27;21
1019;13/03/2023 01:00;0;0;13;14;20
1020;13/03/2023 23:00;0;0;9;9;12
1021;13/03/2023 23:30;0;0;1;1;18
1022;13/03/2023 23:30;0;0;15;16;29
1023;13/03/2023 23:30;0;0;7;7;15
1024;14/03/2023 00:00;0;0;11;11;2
1025;14/03/2023 02:00;0;0;10;10;24
1026;14/03/2023 02:00;0;0;25;26;17
1027;14/03/2023 23:00;0;0;4;4;6
1028;14/03/2023 23:00;0;0;29;30;9
1029;14/03/2023 23:30;0;0;27;28;8
1030;15/03/2023 00:00;0;0;18;19;14
1031;15/03/2023 00:00;0;0;20;21;3
1032;15/03/2023 00:00;0;0;26;27;22
1033;15/03/2023 02:00;0;0;23;24;17
1034;15/03/2023 02:00;0;0;24;25;20
1035;15/03/2023 23:30;0;0;6;6;23
1036;15/03/2023 23:30;0;0;15;16;15
1037;16/03/2023 00:00;0;0;5;5;26
1038;16/03/2023 00:00;0;0;11;11;14
1039;16/03/2023 00:00;0;0;17;18;2
1040;16/03/2023 00:30;0;0;26;27;7
1041;16/03/2023 02:00;0;0;13;13;10
1042;16/03/2023 23:00;0;0;9;9;8
1043;16/03/2023 23:30;0;0;3;3;26
1044;16/03/2023 23:30;0;0;27;28;21
1045;17/03/2023 00:00;0;0;16;17;12
1046;17/03/2023 02:00;0;0;23;24;22
1047;17/03/2023 23:00;0;0;4;4;23
1048;17/03/2023 23:30;0;0;1;1;10
1049;17/03/2023 23:30;0;0;6;6;30
1050;18/03/2023 00:00;0;0;5;5;18
1051;18/03/2023 00:00;0;0;11;11;19
1052;18/03/2023 00:00;0;0;26;27;15
1053;18/03/2023 02:00;0;0;24;25;2
1054;18/03/2023 02:30;0;0;13;14;7
1055;18/03/2023 17:00;0;0;19;20;8
1056;18/03/2023 19:00;0;0;13;13;22
1057;18/03/2023 23:00;0;0;12;12;23
1058;18/03/2023 23:00;0;0;27;28;18
1059;19/03/2023 00:00;0;0;29;30;26
1060;19/03/2023 00:00;0;0;5;5;16
1061;19/03/2023 00:00;0;0;14;15;10
1062;19/03/2023 01:00;0;0;28;29;2
1063;19/03/2023 19:30;0;0;3;3;8
1064;19/03/2023 19:30;0;0;20;21;24
1065;19/03/2023 20:00;0;0;26;27;1
1066;19/03/2023 22:00;0;0;9;9;16
1067;19/03/2023 23:00;0;0;11;11;19
1068;20/03/2023 00:00;0;0;16;17;28
1069;20/03/2023 01:00;0;0;24;25;13
1070;20/03/2023 01:30;0;0;13;14;22
1071;20/03/2023 23:00;0;0;4;4;12
1072;20/03/2023 23:00;0;0;22;23;5
1073;20/03/2023 23:30;0;0;19;20;18
1074;21/03/2023 00:00;0;0;11;11;10
1075;21/03/2023 00:00;0;0;14;15;7
1076;21/03/2023 01:00;0;0;28;29;26
1077;21/03/2023 23:00;0;0;21;22;30
1078;21/03/2023 23:30;0;0;1;1;9
1079;21/03/2023 23:30;0;0;3;3;6
1080;22/03/2023 00:00;0;0;18;19;27
1081;22/03/2023 02:00;0;0;25;26;2
1082;22/03/2023 02:30;0;0;13;13;21
1083;22/03/2023 23:00;0;0;29;30;8
1084;22/03/2023 23:30;0;0;15;16;20
1085;22/03/2023 23:30;0;0;27;28;12
1086;22/03/2023 23:30;0;0;7;7;10
1087;23/03/2023 00:00;0;0;5;5;23
1088;23/03/2023 00:00;0;0;14;15;11
1089;23/03/2023 00:00;0;0;16;17;27
1090;23/03/2023 00:00;0;0;17;18;1
1091;23/03/2023 01:00;0;0;28;29;25
1092;23/03/2023 02:00;0;0;13;14;24
1093;23/03/2023 23:00;0;0;21;22;20
1094;23/03/2023 23:30;0;0;3;3;6
1095;24/03/2023 00:00;0;0;18;19;4
1096;24/03/2023 02:30;0;0;13;13;21
1097;24/03/2023 23:00;0;0;2;2;12
1098;24/03/2023 23:00;0;0;29;30;27
1099;24/03/2023 23:30;0;0;27;28;9
1100;25/03/2023 00:00;0;0;14;15;11
1101;25/03/2023 00:30;0;0;7;7;4
1102;25/03/2023 01:00;0;0;28;29;17
1103;25/03/2023 02:00;0;0;10;10;23
1104;25/03/2023 02:00;0;0;24;25;5
1105;25/03/2023 02:00;0;0;25;26;24
1106;25/03/2023 02:30;0;0;13;14;21
1107;25/03/2023 21:00;0;0;1;1;12
1108;26/03/2023 00:00;0;0;15;16;3
1109;26/03/2023 01:00;0;0;8;8;17
1110;26/03/2023 02:00;0;0;23;24;23
1111;26/03/2023 02:00;0;0;25;26;29
1112;26/03/2023 02:30;0;0;13;13;19
1113;26/03/2023 17:00;0;0;4;4;7
1114;26/03/2023 19:30;0;0;13;14;5
1115;26/03/2023 22:00;0;0;1;1;15
1116;26/03/2023 22:00;0;0;2;2;27
1117;26/03/2023 22:00;0;0;6;6;11
1118;26/03/2023 22:00;0;0;21;22;3
1119;26/03/2023 22:00;0;0;27;28;30
1120;26/03/2023 23:00;0;0;24;25;21
1121;27/03/2023 00:30;0;0;10;10;18
1122;27/03/2023 23:00;0;0;9;9;17
1123;27/03/2023 23:00;0;0;12;12;7
1124;27/03/2023 23:30;0;0;19;20;11
1125;28/03/2023 01:00;0;0;28;29;24
1126;28/03/2023 01:30;0;0;8;8;23
1127;28/03/2023 02:00;0;0;24;25;19
1128;28/03/2023 02:00;0;0;25;26;18
1129;28/03/2023 02:30;0;0;13;13;5
1130;28/03/2023 23:00;0;0;29;30;2
1131;28/03/2023 23:30;0;0;1;1;6
1132;28/03/2023 23:30;0;0;27;28;16
1133;29/03/2023 00:00;0;0;14;15;22
1134;29/03/2023 00:00;0;0;20;21;4
1135;29/03/2023 02:00;0;0;10;10;19
1136;29/03/2023 23:00;0;0;12;12;17
1137;29/03/2023 23:30;0;0;3;3;11
1138;29/03/2023 23:30;0;0;19;20;16
1139;29/03/2023 23:30;0;0;22;23;7
1140;30/03/2023 00:00;0;0;5;5;14
1141;30/03/2023 00:00;0;0;14;15;13
1142;30/03/2023 00:00;0;0;20;21;9
1143;30/03/2023 00:00;0;0;26;27;29
1144;30/03/2023 02:00;0;0;23;24;18
1145;30/03/2023 02:00;0;0;24;25;26
1146;30/03/2023 23:30;0;0;16;17;2
1147;31/03/2023 02:00;0;0;8;8;19
1148;31/03/2023 23:00;0;0;4;4;5
1149;31/03/2023 23:00;0;0;12;12;21
1150;31/03/2023 23:00;0;0;22;23;28
1151;31/03/2023 23:00;0;0;29;30;22
1152;31/03/2023 23:30;0;0;2;2;29
1153;31/03/2023 23:30;0;0;3;3;1
1154;31/03/2023 23:30;0;0;6;6;20
1155;01/04/2023 00:00;0;0;11;11;9
1156;01/04/2023 00:00;0;0;14;15;13
1157;01/04/2023 00:00;0;0;17;18;14
1158;01/04/2023 02:00;0;0;10;10;27
1159;01/04/2023 02:00;0;0;24;25;26
1160;01/04/2023 02:30;0;0;23;24;8
1161;01/04/2023 23:30;0;0;15;16;7
1162;02/04/2023 00:30;0;0;18;19;13
1163;02/04/2023 17:00;0;0;4;4;28
1164;02/04/2023 19:30;0;0;3;3;29
1165;02/04/2023 19:30;0;0;5;5;15
1166;02/04/2023 19:30;0;0;17;18;25
1167;02/04/2023 22:00;0;0;1;1;7
1168;02/04/2023 22:00;0;0;19;20;30
1169;02/04/2023 22:00;0;0;21;22;9
1170;02/04/2023 22:00;0;0;25;26;27
1171;02/04/2023 23:00;0;0;11;11;14
1172;02/04/2023 23:00;0;0;20;21;24
1173;03/04/2023 00:00;0;0;6;6;12
1174;03/04/2023 00:00;0;0;16;17;23
1175;03/04/2023 00:30;0;0;8;8;10
1176;04/04/2023 23:00;0;0;4;4;28
1177;04/04/2023 23:00;0;0;9;9;16
1178;04/04/2023 23:00;0;0;21;22;6
1179;04/04/2023 23:00;0;0;29;30;17
1180;04/04/2023 23:30;0;0;3;3;18
1181;05/04/2023 00:00;0;0;22;23;2
1182;05/04/2023 00:00;0;0;5;5;1
1183;05/04/2023 00:00;0;0;11;11;8
1184;05/04/2023 00:00;0;0;14;15;25
1185;05/04/2023 00:00;0;0;18;19;26
1186;05/04/2023 01:00;0;0;28;29;14
1187;05/04/2023 02:00;0;0;10;10;21
1188;05/04/2023 02:00;0;0;23;24;27
1189;05/04/2023 23:00;0;0;9;9;3
1190;05/04/2023 23:00;0;0;12;12;20
1191;05/04/2023 23:30;0;0;1;1;30
