IDJogo;DataHora;PontosCasa;PontosVisitante;IDEstadio;IDTimeCasa;IDTimeFora
137;06/11/2022 00:00;129;117;17;18;11
138;06/11/2022 01:00;126;101;8;8;27
139;06/11/2022 02:00;102;82;23;24;25
140;06/11/2022 20:30;100;114;13;14;6
141;06/11/2022 23:00;113;104;27;28;5
142;06/11/2022 23:00;103;97;14;15;30
143;07/11/2022 03:00;102;110;13;13;29
144;08/11/2022 00:00;100;108;4;4;30
145;08/11/2022 00:13;127;134;21;22;11
146;08/11/2022 00:30;112;103;9;9;21
147;08/11/2022 00:45;129;122;12;12;19
148;08/11/2022 01:00;100;88;22;23;24
149;08/11/2022 01:13;117;98;1;1;17
150;08/11/2022 01:30;107;110;15;16;25
151;08/11/2022 01:45;111;97;5;5;28
152;08/11/2022 02:00;106;109;14;15;2
153;08/11/2022 02:13;107;120;17;18;20
154;08/11/2022 02:30;109;115;26;27;8
155;08/11/2022 02:45;96;94;7;7;3
156;08/11/2022 03:00;116;113;10;10;26
157;08/11/2022 03:13;139;116;28;29;14
158;08/11/2022 03:30;119;117;13;13;6
159;09/11/2022 22:30;94;87;21;22;7
160;10/11/2022 00:00;95;105;4;4;25
161;10/11/2022 00:00;119;122;12;12;8
162;10/11/2022 00:30;119;125;1;1;29
163;10/11/2022 00:30;128;112;2;2;9
164;10/11/2022 00:30;112;85;3;3;20
165;10/11/2022 00:30;116;109;27;28;11
166;10/11/2022 01:00;111;115;5;5;19
167;10/11/2022 01:00;117;129;17;18;24
168;10/11/2022 01:00;132;136;20;21;17
169;10/11/2022 01:00;122;124;26;27;15
170;10/11/2022 03:00;114;101;13;13;14
171;10/11/2022 03:00;127;120;25;26;6
172;11/11/2022 00:00;113;105;29;30;7
173;11/11/2022 00:30;104;95;1;1;23
174;11/11/2022 00:30;117;112;15;16;4
175;11/11/2022 01:00;95;106;18;19;25
176;12/11/2022 00:00;131;112;2;2;8
177;12/11/2022 00:00;114;97;21;22;24
178;12/11/2022 00:30;121;112;19;20;9
179;12/11/2022 01:00;132;113;20;21;28
180;12/11/2022 01:00;111;93;26;27;17
181;12/11/2022 02:30;114;103;14;15;18
182;12/11/2022 03:00;106;101;10;10;6
183;12/11/2022 03:30;114;120;13;14;26
184;12/11/2022 21:00;95;110;13;13;3
185;12/11/2022 23:00;121;112;29;30;29
186;13/11/2022 00:00;108;117;9;9;2
187;13/11/2022 00:00;118;104;12;12;28
188;13/11/2022 00:30;121;109;22;23;1
189;13/11/2022 01:00;132;115;15;16;4
190;13/11/2022 01:30;117;112;7;7;25
191;13/11/2022 01:30;119;106;18;19;11
192;13/11/2022 17:00;135;145;19;20;21
193;13/11/2022 23:00;124;129;6;6;18
194;13/11/2022 23:00;102;92;29;30;15
195;14/11/2022 00:30;105;98;22;23;29
196;14/11/2022 01:00;103;126;5;5;8
197;14/11/2022 02:00;122;115;25;26;10
198;14/11/2022 02:30;116;103;13;14;3
199;15/11/2022 00:00;111;115;9;9;28
200;15/11/2022 00:00;105;112;21;22;4
201;15/11/2022 00:30;126;122;2;2;21
202;15/11/2022 00:30;113;112;15;16;24
203;15/11/2022 01:00;106;122;11;11;13
204;15/11/2022 01:00;106;121;16;17;1
205;15/11/2022 03:00;132;95;10;10;27
206;16/11/2022 00:30;113;102;18;19;15
207;16/11/2022 01:30;103;101;7;7;13
208;16/11/2022 02:00;111;118;28;29;20
209;16/11/2022 03:00;117;110;24;25;27
210;16/11/2022 03:00;153;121;25;26;3
211;17/11/2022 00:00;113;125;4;4;12
212;17/11/2022 00:00;108;126;21;22;18
213;17/11/2022 00:00;120;121;29;30;21
214;17/11/2022 00:30;101;126;1;1;2
215;17/11/2022 00:30;112;104;27;28;16
216;17/11/2022 01:00;113;98;16;17;6
217;17/11/2022 01:00;124;110;18;19;5
218;17/11/2022 01:30;92;101;7;7;11
219;17/11/2022 03:00;103;106;8;8;20
220;17/11/2022 03:00;130;119;23;24;10
221;18/11/2022 03:00;107;109;24;25;3
222;18/11/2022 03:00;130;112;25;26;27
223;18/11/2022 03:30;96;91;13;13;9
224;19/11/2022 00:00;107;106;29;30;16
225;19/11/2022 00:30;132;122;6;6;4
226;19/11/2022 00:30;110;102;22;23;17
227;19/11/2022 01:00;107;108;5;5;22
228;19/11/2022 01:00;91;99;11;11;12
229;19/11/2022 01:00;121;110;14;15;21
230;19/11/2022 01:30;127;99;7;7;8
231;19/11/2022 01:30;109;117;18;19;2
232;19/11/2022 02:00;134;133;28;29;24
233;19/11/2022 03:00;111;101;10;10;20
234;19/11/2022 03:30;128;121;13;14;9
235;19/11/2022 23:00;124;122;1;1;28
236;20/11/2022 00:00;114;113;12;12;22
237;20/11/2022 00:30;109;112;22;23;18
238;20/11/2022 03:00;113;118;24;25;29
239;20/11/2022 03:30;119;97;13;13;27
240;20/11/2022 20:30;116;95;23;24;20
241;20/11/2022 23:00;106;102;29;30;4
242;20/11/2022 23:00;137;129;25;26;9
243;21/11/2022 00:00;127;115;3;3;15
244;21/11/2022 00:00;113;87;6;6;16
245;21/11/2022 00:00;120;127;11;11;10
246;21/11/2022 00:30;97;98;7;7;8
247;21/11/2022 02:30;123;92;13;14;27
248;22/11/2022 00:00;114;102;6;6;1
249;22/11/2022 00:00;123;102;12;12;22
250;22/11/2022 01:00;121;107;5;5;2
251;22/11/2022 01:00;119;111;16;17;25
252;22/11/2022 01:00;105;101;17;18;16
253;22/11/2022 01:00;128;83;18;19;10
254;22/11/2022 01:00;119;129;20;21;20
255;22/11/2022 03:30;121;114;13;13;29
256;23/11/2022 00:30;115;106;22;23;3
257;23/11/2022 01:00;109;113;14;15;26
258;23/11/2022 02:00;108;110;8;8;9
259;23/11/2022 03:00;115;105;23;24;14
260;24/11/2022 00:00;107;101;4;4;23
261;24/11/2022 00:00;114;96;6;6;25
262;24/11/2022 00:00;101;115;12;12;18
263;24/11/2022 00:30;115;106;1;1;26
264;24/11/2022 00:30;125;112;2;2;7
265;24/11/2022 00:30;113;105;15;16;30
266;24/11/2022 00:30;98;112;27;28;3
267;24/11/2022 01:00;113;118;16;17;5
268;24/11/2022 01:00;126;131;20;21;8
269;24/11/2022 01:00;110;129;26;27;19
270;24/11/2022 02:00;116;125;28;29;9
271;24/11/2022 03:00;124;107;10;10;13
272;25/11/2022 22:00;110;108;4;4;18
273;26/11/2022 00:00;99;107;21;22;23
274;26/11/2022 00:30;129;132;19;20;25
275;26/11/2022 01:00;122;104;2;2;26
276;26/11/2022 01:00;128;117;12;12;3
277;26/11/2022 01:00;110;107;15;16;30
278;26/11/2022 01:00;128;122;11;11;1
279;26/11/2022 01:00;132;111;14;15;19
280;26/11/2022 01:00;117;102;16;17;6
281;26/11/2022 01:00;123;119;20;21;5
282;26/11/2022 01:00;94;105;26;27;14
283;26/11/2022 02:00;108;102;23;24;9
284;26/11/2022 03:00;129;118;10;10;29
285;26/11/2022 03:30;104;114;13;13;8
286;26/11/2022 22:00;105;100;27;28;7
287;27/11/2022 01:00;118;105;11;11;21
288;27/11/2022 01:00;138;143;26;27;14
289;27/11/2022 02:00;113;112;23;24;29
290;27/11/2022 20:00;111;97;3;3;25
291;27/11/2022 20:30;114;137;17;18;10
292;27/11/2022 21:00;114;100;13;13;12
293;27/11/2022 22:00;98;106;1;1;16
294;27/11/2022 23:00;130;121;2;2;30
295;27/11/2022 23:00;94;102;9;9;6
296;27/11/2022 23:00;123;127;19;20;15
297;27/11/2022 23:00;103;133;21;22;23
298;28/11/2022 01:00;124;115;16;17;7
299;29/11/2022 00:00;104;101;22;23;1
300;29/11/2022 00:00;142;127;29;30;18
301;29/11/2022 00:30;140;105;2;2;4
302;29/11/2022 00:30;109;102;3;3;22
303;29/11/2022 00:30;100;88;27;28;6
304;29/11/2022 01:00;105;101;18;19;21
305;29/11/2022 02:00;129;113;8;8;11
306;29/11/2022 02:00;107;114;28;29;5
307;29/11/2022 03:00;117;122;25;26;24
308;29/11/2022 03:30;115;116;13;14;12
309;30/11/2022 00:00;110;140;9;9;20
310;30/11/2022 00:30;116;113;7;7;10
311;30/11/2022 03:00;112;118;24;25;13
312;01/12/2022 00:00;113;85;6;6;23
313;01/12/2022 00:00;108;125;21;22;1
314;01/12/2022 00:30;134;121;2;2;16
315;01/12/2022 00:30;113;107;3;3;30
